ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
14537,876090,0,0.34,0.00,207,84,43.035808,-77.163201,0.34,43.040023,-77.166281,43.031593,-77.160121
14539,548223,0,0.21,0.00,242,94,42.834499,-77.874751,0.21,42.837833,-77.877196,42.831165,-77.872306
14541,127482704,493092,49.22,0.19,"4,129","1,279",42.757557,-76.848849,49.41,42.808494,-76.886249,42.706620,-76.811449
14542,4793744,0,1.85,0.00,97,43,43.147329,-76.860121,1.85,43.157187,-76.867314,43.137471,-76.852928
14543,65196375,918461,25.17,0.35,"3,152","1,261",42.983680,-77.678319,25.53,43.020292,-77.705102,42.947068,-77.651536
14544,73124615,64788,28.23,0.03,"2,101","1,117",42.756251,-77.243735,28.26,42.794772,-77.272019,42.717730,-77.215451
14545,3716761,0,1.44,0.00,173,78,42.664857,-77.701007,1.44,42.673538,-77.707390,42.656176,-77.694624
14546,88473575,786459,34.16,0.30,"4,695","2,108",43.032675,-77.780006,34.46,43.075215,-77.811101,42.990135,-77.748911
14548,77896777,0,30.08,0.00,"4,249","1,750",42.976072,-77.243870,30.08,43.015812,-77.272946,42.936332,-77.214794
14549,291068,0,0.11,0.00,91,52,42.700030,-78.017273,0.11,42.702459,-78.019058,42.697601,-78.015488
14550,51804279,2284101,20.00,0.88,"1,537",795,42.679902,-78.093487,20.88,42.713017,-78.117832,42.646787,-78.069142
14551,113157907,308972,43.69,0.12,"5,651","2,468",43.218114,-77.049402,43.81,43.266077,-77.084355,43.170151,-77.014449
14555,8123085,8211313,3.14,3.17,974,971,43.260787,-76.975740,6.31,43.278985,-76.988993,43.242589,-76.962487
14559,110117074,665953,42.52,0.26,"18,057","7,101",43.189993,-77.819055,42.77,43.237385,-77.853608,43.142601,-77.784502
14560,100587067,2870224,38.84,1.11,"2,164","1,128",42.683429,-77.565904,39.95,42.729228,-77.599571,42.637630,-77.532237
14561,134359298,0,51.88,0.00,"3,086","1,156",42.820432,-77.131778,51.88,42.872624,-77.170060,42.768240,-77.093496
14564,109044868,315032,42.10,0.12,"14,487","5,888",42.986699,-77.434360,42.22,43.033786,-77.468805,42.939612,-77.399915
14568,61489229,28857,23.74,0.01,"6,048","2,276",43.160609,-77.281449,23.75,43.195925,-77.307210,43.125293,-77.255688
14569,197585027,1112470,76.29,0.43,"6,211","2,897",42.734693,-78.168593,76.72,42.798163,-78.215212,42.671223,-78.121974
14571,47540105,1309083,18.36,0.51,"1,176",802,43.341653,-78.251742,18.86,43.373123,-78.274630,43.310183,-78.228854
14572,193554768,830473,74.73,0.32,"5,081","2,463",42.564925,-77.562598,75.05,42.627702,-77.608834,42.502148,-77.516362
14580,110323109,5389645,42.60,2.08,"50,587","21,001",43.217283,-77.444534,44.68,43.265718,-77.479832,43.168848,-77.409236
14585,128258,0,0.05,0.00,120,74,42.906261,-77.553145,0.05,42.907874,-77.554326,42.904648,-77.551964
14586,28867688,500369,11.15,0.19,"10,256","3,900",43.041661,-77.689956,11.34,43.066062,-77.707790,43.017260,-77.672122
14588,623657,0,0.24,0.00,749,38,42.680987,-76.870803,0.24,42.684543,-76.873417,42.677431,-76.868189
14589,113469822,77394,43.81,0.03,"7,854","3,561",43.249424,-77.174261,43.84,43.297404,-77.209209,43.201444,-77.139313
14590,174903100,2981404,67.53,1.15,"5,446","3,140",43.242547,-76.826243,68.68,43.302601,-76.869990,43.182493,-76.782496
14591,104664852,64307,40.41,0.02,"1,748",710,42.832057,-78.107467,40.44,42.878136,-78.141259,42.785978,-78.073675
14592,431978,0,0.17,0.00,110,43,42.872237,-77.895893,0.17,42.875196,-77.898062,42.869278,-77.893724
14604,946704,45904,0.37,0.02,"1,743","1,482",43.156212,-77.604741,0.38,43.160698,-77.608014,43.151726,-77.601468
14605,4683397,57629,1.81,0.02,"12,610","5,304",43.168428,-77.602642,1.83,43.178232,-77.609793,43.158624,-77.595491
14606,25174139,177325,9.72,0.07,"28,255","12,090",43.170997,-77.697914,9.79,43.193668,-77.714448,43.148326,-77.681380
14607,4360329,0,1.68,0.00,"16,223","10,568",43.150787,-77.586436,1.68,43.160189,-77.593295,43.141385,-77.579577
